INFO         | Android emulator version 36.6.11.0 (build_id 15507667) (CL:N/A)
INFO         | Graphics backend: gfxstream
INFO         | Found systemPath /Users/fazza_abiyyu/Library/Android/sdk/system-images/android-36/google_apis_playstore/arm64-v8a/
INFO         | Guest usage of host flag 'VulkanVirtualQueue' will be ignored.
INFO         | Increasing RAM size to 2560MB
INFO         | Guest GLES Driver: Auto (ext controls)
WARNING      | Software GL rendering will be used due to system memory pressure, performance will be affected! (Available Memory: 4350 MB, Required: 5120 MB)
INFO         | emuglConfig_init: vulkan_mode_selected:lavapipe gles_mode_selected:swangle
INFO         | Checking system compatibility:
INFO         |   Checking: hasSufficientDiskSpace
INFO         |      Ok: Disk space requirements to run avd: `Pixel_Arm` are met
INFO         |   Checking: hasSufficientHwGpu
INFO         |      Ok: Hardware GPU compatibility checks are not required
INFO         |   Checking: hasSufficientSystem
INFO         |      Ok: System requirements to run avd: `Pixel_Arm` are met
INFO         | Warning: QMetaObject::connectSlotsByName: No matching signal for on_default_environment_selected() (:0, )
INFO         | Warning: QMetaObject::connectSlotsByName: No matching signal for on_none_selected() (:0, )
INFO         | Warning: QMetaObject::connectSlotsByName: No matching signal for on_custom_image_selected() (:0, )
INFO         | Warning: QMetaObject::connectSlotsByName: No matching signal for on_custom_video_selected() (:0, )
INFO         | Warning: QMetaObject::connectSlotsByName: No matching signal for on_custom_360_image_selected() (:0, )
INFO         | Storing crashdata in: /tmp/android-fazza_abiyyu/emu-crash-36.6.11.db, detection is enabled for process: 70519
INFO         | Initializing gfxstream backend
INFO         | startOpenglesRendererImpl: gpu info
INFO         | 
INFO         | initIcdPaths: ICD set to 'lavapipe', using Lavapipe ICD
INFO         | Setting ICD filenames for the loader = /Users/fazza_abiyyu/Library/Android/sdk/emulator/lib64/vulkan/lvp_icd.json
INFO         | SharedLibrary::open for [/Users/fazza_abiyyu/Library/Android/sdk/emulator/qemu/darwin-aarch64/lib64/vulkan/libvulkan.dylib]
INFO         | Added library: /Users/fazza_abiyyu/Library/Android/sdk/emulator/qemu/darwin-aarch64/lib64/vulkan/libvulkan.dylib
INFO         | Enabling Vulkan portability.
INFO         | Selecting Vulkan device: llvmpipe (LLVM 21.1.4, 128 bits), Version: 1.4.330
INFO         | Using Vulkan externalMemoryMode: OpaqueFd for VkEmulation
INFO         | Initializing VkEmulation features:
INFO         |     glInteropSupported: false
INFO         |     useDeferredCommands: true
INFO         |     createResourceWithRequirements: true
INFO         |     useVulkanComposition: false
INFO         |     useVulkanNativeSwapchain: false
INFO         |     enable guestRenderDoc: false
INFO         |     ASTC LDR emulation mode: Gpu
INFO         |     enable ETC2 emulation: true
INFO         |     enable Ycbcr emulation: false
INFO         |     guestVulkanOnly: false
INFO         |     useDedicatedAllocations: false
INFO         |     guestVulkanMaxApiVersion: 1.3.0
INFO         |     enableProtectedMemoryEmulation: false
INFO         | Graphics Adapter Vendor Google (Google Inc. (Google))
INFO         | Graphics Adapter Android Emulator OpenGL ES Translator (ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (LLVM 10.0.0) (0x0000C0DE)), SwiftShader driver-5.0.0))
INFO         | Graphics API Version OpenGL ES 3.0 (OpenGL ES 3.1.0 (ANGLE 2.1.1 git hash: fbf66f49c7cc))
INFO         | Graphics API Extensions GL_OES_EGL_sync GL_OES_EGL_image GL_OES_EGL_image_external GL_OES_depth24 GL_OES_depth32 GL_OES_element_index_uint GL_OES_texture_float GL_OES_texture_float_linear GL_OES_compressed_paletted_texture GL_OES_compressed_ETC1_RGB8_texture GL_OES_depth_texture GL_OES_texture_half_float GL_OES_texture_half_float_linear GL_OES_packed_depth_stencil GL_OES_vertex_half_float GL_OES_standard_derivatives GL_OES_texture_npot GL_OES_rgb8_rgba8 GL_OVR_multiview2 GL_EXT_color_buffer_float GL_EXT_color_buffer_half_float GL_EXT_texture_format_BGRA8888 GL_APPLE_texture_format_BGRA8888 GL_EXT_draw_buffers_indexed GL_EXT_clip_cull_distance 
INFO         | Graphics Device Extensions N/A
INFO         | Disabling sparse binding feature support
INFO         | Sending adb public key [QAAAAA3M/Fk7nb3kIsxnw+jVwc53ywBAmZX8xtTlGYDHbgFzt3PL2EiRJq7AV+eVFpg8hqtReneZLhmlVCyCc0nap9gbQtGstNLMBc0EKMkhyJBAoses7gXGBjSWRaBa2/ANFsokm03jnIIIjxxeZTaG+iM4CYfmIO9hD4Hxl7Ll9kW1I+emo0bSLqnAHICCUEyKONINQq3PXEANfLzLpYIyf4q5jGdeAGcoN4ispelQ76GJ2+SIWHw4OIC05G482MEU6u9wYqAWSyR0vDBVEdKTvEi1kWbUZe9AZDh6Sk8waGAp6ZI0I1nV9TEYhVcpsOb6vbyzWAhRa5BwnB4ttyY0XSm24X6D9k9RXTDWdkDHaa+UBtfiGVEP0DJ/c2QgSNyqzG1wbFxfj+/PBzjTXSyOL6ZbD2f7yLfgdqo7ZngJtpXwvLWWmILxxbeP59T/ljFd8U+AUH1IdDlRdLKbItEjJpd9zhT1Lk8A8l64nbUbnaTKo+m/4nu484F9jaODh183Kq256KDz8FX4F/OIA+dGKlbBKZe0vxZI0BeEklNnV/BI7STuC7zLvE+b1zrYSTJl/rp6jxYm6vTVVSbCcy+DRfFwta3otxrScAquKUJ1Q2o0IJE47AaQpq8k6UbZNb2CjTlpDIGZzJhtcn5LJLyqIZT1WfA0psSs7uZPR+CGvJiTXgYiOQEAAQA= fazza_abiyyu@unknown]
INFO         | Userspace boot properties:
INFO         |   androidboot.boot_devices=a003600.virtio_mmio
INFO         |   androidboot.dalvik.vm.heapsize=576m
INFO         |   androidboot.debug.hwui.renderer=skiagl
INFO         |   androidboot.debug.sf.nobootanimation=1
INFO         |   androidboot.hardware=ranchu
INFO         |   androidboot.hardware.gltransport=pipe
INFO         |   androidboot.hardware.vulkan=ranchu
INFO         |   androidboot.logcat=*:V
INFO         |   androidboot.opengles.version=196609
INFO         |   androidboot.qemu=1
INFO         |   androidboot.qemu.adb.pubkey=QAAAAA3M/Fk7nb3kIsxnw+jVwc53ywBAmZX8xtTlGYDHbgFzt3PL2EiRJq7AV+eVFpg8hqtReneZLhmlVCyCc0nap9gbQtGstNLMBc0EKMkhyJBAoses7gXGBjSWRaBa2/ANFsokm03jnIIIjxxeZTaG+iM4CYfmIO9hD4Hxl7Ll9kW1I+emo0bSLqnAHICCUEyKONINQq3PXEANfLzLpYIyf4q5jGdeAGcoN4ispelQ76GJ2+SIWHw4OIC05G482MEU6u9wYqAWSyR0vDBVEdKTvEi1kWbUZe9AZDh6Sk8waGAp6ZI0I1nV9TEYhVcpsOb6vbyzWAhRa5BwnB4ttyY0XSm24X6D9k9RXTDWdkDHaa+UBtfiGVEP0DJ/c2QgSNyqzG1wbFxfj+/PBzjTXSyOL6ZbD2f7yLfgdqo7ZngJtpXwvLWWmILxxbeP59T/ljFd8U+AUH1IdDlRdLKbItEjJpd9zhT1Lk8A8l64nbUbnaTKo+m/4nu484F9jaODh183Kq256KDz8FX4F/OIA+dGKlbBKZe0vxZI0BeEklNnV/BI7STuC7zLvE+b1zrYSTJl/rp6jxYm6vTVVSbCcy+DRfFwta3otxrScAquKUJ1Q2o0IJE47AaQpq8k6UbZNb2CjTlpDIGZzJhtcn5LJLyqIZT1WfA0psSs7uZPR+CGvJiTXgYiOQEAAQA= fazza_abiyyu@unknown
INFO         |   androidboot.qemu.avd_name=Pixel_Arm
INFO         |   androidboot.qemu.camera_hq_edge_processing=0
INFO         |   androidboot.qemu.camera_protocol_ver=1
INFO         |   androidboot.qemu.cpuvulkan.version=4206592
INFO         |   androidboot.qemu.gltransport.drawFlushInterval=800
INFO         |   androidboot.qemu.gltransport.name=pipe
INFO         |   androidboot.qemu.hwcodec.avcdec=2
INFO         |   androidboot.qemu.hwcodec.hevcdec=2
INFO         |   androidboot.qemu.hwcodec.vpxdec=2
